reportDate,zip,confirmed_cases,total_tested
3/17/21 0:00,60419,1786,36830
3/17/21 0:00,60420,520,10112
3/17/21 0:00,60421,287,2855
3/17/21 0:00,60422,695,10965
3/17/21 0:00,60423,3223,29505
3/17/21 0:00,60424,195,1936
3/17/21 0:00,60425,803,13446
3/17/21 0:00,60426,2438,27193
3/17/21 0:00,60428,975,11848
3/17/21 0:00,60429,1265,19146
3/17/21 0:00,60430,1494,24178
3/17/21 0:00,60431,2946,26607
3/17/21 0:00,60432,2367,16852
3/17/21 0:00,60433,1780,17435
3/17/21 0:00,60434,376,8730
3/17/21 0:00,60435,5035,55752
3/17/21 0:00,60436,1952,22874
3/17/21 0:00,60437,18,187
3/17/21 0:00,60438,3056,29228
3/17/21 0:00,60439,2097,31219
3/17/21 0:00,60440,5183,65857
3/17/21 0:00,60441,3283,28890
3/17/21 0:00,60442,1083,9275
3/17/21 0:00,60443,1785,22624
3/17/21 0:00,60444,148,1436
3/17/21 0:00,60445,1745,21669
3/17/21 0:00,60446,4330,41020
3/17/21 0:00,60447,1474,14182
3/17/21 0:00,60448,2292,21188
3/17/21 0:00,60449,697,7789
3/17/21 0:00,60450,2169,20630
3/17/21 0:00,60451,3260,31276
3/17/21 0:00,60452,2691,23849
3/17/21 0:00,60453,5470,65247
3/17/21 0:00,60454,18,150
3/17/21 0:00,60455,1676,20061
3/17/21 0:00,60456,349,4202
3/17/21 0:00,60457,1180,11904
3/17/21 0:00,60458,1284,13351
3/17/21 0:00,60459,2995,26283
3/17/21 0:00,60460,156,2035
3/17/21 0:00,60461,303,4697
3/17/21 0:00,60462,3618,39466
3/17/21 0:00,60463,1469,23388
3/17/21 0:00,60464,801,10153
3/17/21 0:00,60465,1657,17557
3/17/21 0:00,60466,1968,29197
3/17/21 0:00,60467,2245,26546
3/17/21 0:00,60468,610,5114
3/17/21 0:00,60469,734,5466
3/17/21 0:00,60470,37,654
3/17/21 0:00,60471,1054,20268
3/17/21 0:00,60472,334,8755
3/17/21 0:00,60473,2156,37107
3/17/21 0:00,60474,88,789
3/17/21 0:00,60475,812,7876
3/17/21 0:00,60476,232,2343
3/17/21 0:00,60477,3489,34554
3/17/21 0:00,60478,1418,21912
3/17/21 0:00,60479,49,591
3/17/21 0:00,60480,474,5314
3/17/21 0:00,60481,1172,14915
3/17/21 0:00,60482,801,7549
3/17/21 0:00,60484,524,6426
3/17/21 0:00,60487,2443,22383
